operateur,region,latitude,longitude,typeMesure,timestamp,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
MTN,CON,10.1,-12.9,INTERNET,2025-04-09T21:31:00Z,24.7,8.1,33.1,13.1,43.6,80,2.8,1.5,QoS Internet Conakry T1 2025
MTN,CON,10.0,-12.8,INTERNET,2025-03-04T21:29:00Z,23.4,8.9,49.1,14.3,52.5,71,3.3,1.7,QoS Internet Conakry T1 2025
MTN,CON,10.1,-12.9,INTERNET,2025-03-28T21:42:00Z,21.7,8.2,35.6,9.7,35.5,75,3.3,1.7,QoS Internet Conakry T1 2025
MTN,CON,10.0,-12.8,INTERNET,2025-02-20T16:03:00Z,25.0,7.5,46.5,12.4,59.2,71,2.8,1.4,QoS Internet Conakry T1 2025
MTN,CON,10.0,-12.8,INTERNET,2025-03-01T20:22:00Z,19.7,7.4,34.3,13.1,43.3,67,2.9,1.5,QoS Internet Conakry T1 2025
MTN,CON,10.1,-12.9,INTERNET,2025-01-19T21:42:00Z,25.5,7.3,45.6,16.7,59.9,72,3.3,1.6,QoS Internet Conakry T1 2025
MTN,CON,10.1,-12.8,INTERNET,2025-03-18T10:44:00Z,22.0,8.8,39.0,14.4,40.6,73,3.5,1.8,QoS Internet Conakry T1 2025
MTN,CON,10.1,-12.8,INTERNET,2025-01-24T14:18:00Z,22.6,9.0,44.3,19.1,53.0,75,3.7,1.3,QoS Internet Conakry T1 2025
MTN,CON,10.0,-12.9,INTERNET,2025-03-28T21:27:00Z,23.3,7.4,47.6,16.1,53.2,69,3.3,1.6,QoS Internet Conakry T1 2025
MTN,CON,10.0,-12.9,INTERNET,2025-03-14T11:56:00Z,25.2,8.2,36.7,15.8,44.3,73,4.3,1.5,QoS Internet Conakry T1 2025
MTN,CON,10.1,-12.9,INTERNET,2025-04-03T20:59:00Z,22.2,7.6,35.5,10.3,41.9,70,3.4,1.3,QoS Internet Conakry T1 2025
MTN,CON,10.1,-12.9,INTERNET,2025-01-23T14:54:00Z,23.3,7.2,43.9,14.6,40.8,69,3.1,1.8,QoS Internet Conakry T1 2025
MTN,CON,10.1,-12.9,INTERNET,2025-03-15T21:35:00Z,25.6,7.0,37.8,10.1,46.4,70,3.6,1.6,QoS Internet Conakry T1 2025
MTN,CON,10.0,-12.9,INTERNET,2025-01-20T21:50:00Z,18.3,8.3,48.8,20.5,51.7,71,3.8,1.1,QoS Internet Conakry T1 2025
MTN,CON,10.1,-12.9,INTERNET,2025-02-01T14:07:00Z,18.7,8.5,43.5,17.3,48.3,74,2.8,1.6,QoS Internet Conakry T1 2025
MTN,CON,10.1,-12.8,INTERNET,2025-02-24T16:53:00Z,24.2,7.2,40.6,11.7,38.9,81,3.4,1.3,QoS Internet Conakry T1 2025
MTN,CON,10.1,-12.9,INTERNET,2025-03-31T09:31:00Z,18.6,8.1,41.5,12.7,41.6,78,2.9,1.5,QoS Internet Conakry T1 2025
MTN,CON,10.1,-12.9,INTERNET,2025-03-03T15:01:00Z,17.9,8.8,47.5,12.9,61.0,76,3.1,1.4,QoS Internet Conakry T1 2025
MTN,CON,10.1,-12.8,INTERNET,2025-04-06T16:57:00Z,25.2,9.1,39.9,16.8,42.0,81,3.1,1.1,QoS Internet Conakry T1 2025
MTN,CON,10.1,-12.8,INTERNET,2025-02-14T15:13:00Z,21.5,7.4,47.8,17.9,58.7,70,2.8,1.8,QoS Internet Conakry T1 2025
MTN,CON,10.1,-12.9,INTERNET,2025-03-18T21:47:00Z,23.9,9.2,47.9,19.5,56.9,74,3.2,1.6,QoS Internet Conakry T1 2025
MTN,CON,10.1,-12.9,INTERNET,2025-03-26T16:29:00Z,23.2,7.0,41.0,15.4,36.1,69,3.2,1.6,QoS Internet Conakry T1 2025
