operateur,region,latitude,longitude,typeMesure,timestamp,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
INTERCEL,CON,10.1,-12.9,INTERNET,2025-04-18T10:45:00Z,8.4,3.0,71.1,19.7,89.2,41,3.3,1.5,QoS Internet Conakry T2 2025
INTERCEL,CON,10.1,-12.8,INTERNET,2025-06-27T16:14:00Z,6.2,3.0,69.7,30.3,76.2,39,3.9,1.4,QoS Internet Conakry T2 2025
INTERCEL,CON,10.1,-12.9,INTERNET,2025-06-01T11:43:00Z,8.9,3.0,78.1,31.2,80.4,39,3.6,1.9,QoS Internet Conakry T2 2025
INTERCEL,CON,10.1,-12.9,INTERNET,2025-06-14T10:53:00Z,6.3,2.3,82.2,24.9,94.7,40,3.9,1.3,QoS Internet Conakry T2 2025
INTERCEL,CON,10.1,-12.8,INTERNET,2025-06-21T10:50:00Z,7.5,3.2,68.2,18.2,64.1,46,3.6,1.1,QoS Internet Conakry T2 2025
INTERCEL,CON,10.1,-12.9,INTERNET,2025-07-01T15:22:00Z,8.6,2.4,95.2,25.9,95.3,38,4.3,1.3,QoS Internet Conakry T2 2025
INTERCEL,CON,10.1,-12.8,INTERNET,2025-04-26T20:47:00Z,7.6,3.0,96.1,37.8,97.7,43,2.9,1.7,QoS Internet Conakry T2 2025
INTERCEL,CON,10.1,-12.8,INTERNET,2025-06-13T20:28:00Z,8.1,2.3,64.3,25.7,78.9,42,4.0,1.5,QoS Internet Conakry T2 2025
INTERCEL,CON,10.0,-12.9,INTERNET,2025-05-24T15:40:00Z,6.5,3.2,83.6,23.4,76.3,41,3.8,1.2,QoS Internet Conakry T2 2025
INTERCEL,CON,10.1,-12.8,INTERNET,2025-05-02T10:03:00Z,6.8,2.6,66.2,23.7,62.9,38,3.2,1.7,QoS Internet Conakry T2 2025
INTERCEL,CON,10.1,-12.8,INTERNET,2025-05-01T16:50:00Z,7.8,2.5,90.5,37.7,106.4,46,4.1,1.7,QoS Internet Conakry T2 2025
INTERCEL,CON,10.0,-12.9,INTERNET,2025-05-08T20:53:00Z,8.1,3.1,87.5,33.7,115.1,49,3.9,1.5,QoS Internet Conakry T2 2025
INTERCEL,CON,10.1,-12.9,INTERNET,2025-06-14T15:41:00Z,6.2,2.3,68.7,21.1,82.1,50,4.5,2.0,QoS Internet Conakry T2 2025
