regionCode,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering
CON,9.56,-13.66,DRIVE_TEST,2025-11-28T14:52:42.136000Z,-63.03,-71.81,-7.11,13.31,18.08,11.19,39.33,4.17,100,3.17,24.58,12.7,30.28,19.55,156.72,93.85,3.76,0.82
CON,9.58,-13.85,INTERNET,2025-10-15T02:11:51.532000Z,,,,,,,,,,,26.75,13.7,42.2,23.42,74.92,,,
CON,9.37,-13.82,MOBILE,2025-10-15T20:13:48.159000Z,-70.93,-79.31,-6.29,7.37,23.69,11.03,19.25,4.53,99.88,1.4,,,,,,,,
CON,9.58,-13.85,INTERNET,2025-10-14T04:00:36.166000Z,,,,,,,,,,,26.31,17.5,24.42,6.85,154.03,,,
CON,9.39,-13.65,MOBILE,2025-10-04T12:58:24.772000Z,-52.17,-67.33,-4.73,17.45,23.05,11.99,27.39,0,100,2.56,,,,,,,,
CON,9.55,-13.78,MOBILE,2025-12-04T22:33:56.021000Z,-60.89,-67.88,-6.11,14.3,24.39,11.73,15.96,2.75,100,1.14,,,,,,,,
CON,9.5,-13.8,DRIVE_TEST,2025-12-28T06:13:39.475000Z,-92.94,-98.05,-11.67,3.93,4.43,0,133.52,17.95,8.29,10.42,2.75,3.37,183.46,84.13,603.16,26.55,14.67,6.37
CYA,9.72,-13.31,INTERNET,2025-11-05T04:52:13.911000Z,,,,,,,,,,,33.25,15.28,26.26,11.5,148.02,,,
CYA,9.58,-13.26,DRIVE_TEST,2025-12-08T03:12:51.128000Z,-64.71,-87.12,-5.03,17.48,18.91,10.41,31.26,0.86,100,4.53,23.45,14.56,19.53,15.7,100.1,83.87,2.81,2.79
CYA,9.63,-13.47,MOBILE,2025-10-18T03:31:13.739000Z,-52.21,-57.96,-7.88,16.68,16.03,9.81,39.04,3.94,100,1.14,,,,,,,,
CYA,9.87,-13.29,MOBILE,2025-10-17T14:36:07.496000Z,-51.31,-68.49,-7.87,14.37,19.77,13.53,21.53,0,100,0,,,,,,,,
CYA,9.66,-13.43,DRIVE_TEST,2025-12-13T05:57:15.646000Z,-56.67,-73.16,-7.94,23.33,26.51,13.19,16.05,2.95,100,2.57,26.85,16.68,30.93,1,105.17,96.54,1.34,0
CYA,9.62,-13.47,MOBILE,2025-10-12T12:49:18.331000Z,-57.14,-69.95,-7.25,18.27,23.9,13.59,33.8,5.02,100,0,,,,,,,,
CYA,9.8,-13.43,MOBILE,2025-12-05T20:30:48.792000Z,-60.68,-77,-3.88,17.74,22.37,14.18,24.84,2.6,100,3.02,,,,,,,,
CYA,9.7,-13.44,DRIVE_TEST,2025-11-24T16:06:07.325000Z,-51.63,-78.38,-3,18.35,21.49,12.22,10.3,4.21,100,3.5,24.49,15.07,22.12,15.37,85.12,81.22,2.74,2.7
KIN,10.19,-12.88,INTERNET,2025-10-21T22:29:31.218000Z,,,,,,,,,,,16.44,9.72,8.27,35.27,129.75,,,
KIN,10.12,-12.97,INTERNET,2025-11-05T05:19:55.925000Z,,,,,,,,,,,29.4,13.42,34.69,1.08,50.89,,,
KIN,10.14,-12.72,DRIVE_TEST,2025-11-21T23:43:08.391000Z,-54.31,-70.96,-5.67,17.56,25.27,10.53,15.21,1.67,100,0,25.05,18.11,29.41,12.58,89.76,89.63,2.35,0
KIN,10.14,-12.88,DRIVE_TEST,2025-12-19T21:41:50.457000Z,-90.11,-94.11,-8.7,2.1,1.02,0.44,147.7,20.93,21.68,10.39,7.86,9.41,160.42,88.38,611.36,32.54,13.28,7.42
KIN,9.95,-12.75,MOBILE,2025-12-31T09:39:59.348000Z,-56.21,-76.97,-7.39,13.06,23.31,10.17,11.78,6.45,100,4.6,,,,,,,,
KIN,10.11,-12.92,MOBILE,2025-10-23T13:57:37.665000Z,-66.72,-76.15,-4.77,13.84,23.11,13.4,25.85,7.8,100,0.43,,,,,,,,
KIN,10.07,-12.82,DRIVE_TEST,2025-10-28T12:52:19.215000Z,-58.02,-73.63,-5.58,17.35,22.3,12.89,20.4,1.71,100,0,30.75,15.56,32.28,18.16,67.03,93.29,0.81,0
KIN,10.19,-12.72,DRIVE_TEST,2025-10-13T05:00:21.364000Z,-51.74,-71.38,-7.32,12.29,22.32,13.88,9.3,1.6,100,2.46,26.83,10.76,27.47,20.84,86.24,81.63,2.76,2.61
BOK,11.33,-14.15,DRIVE_TEST,2025-11-28T03:06:25.422000Z,-85.13,-101.81,-13.95,-1.46,0,1.34,142.73,23.73,19.22,14.41,8.11,4.83,167.9,90.31,547.87,13.18,12.01,4.53
BOK,11.21,-14.33,DRIVE_TEST,2025-10-24T19:42:05.481000Z,-72.03,-83.48,-8.08,8.68,15.32,5.96,20.93,6.33,79.42,4.74,19.48,11.33,34.16,43.76,134.64,46.27,5.7,1.12
BOK,11.13,-14.31,DRIVE_TEST,2025-12-21T21:15:17.604000Z,-76.63,-81.49,-3.6,11.29,16.8,6.32,48.58,9.08,70.23,2.74,21.44,9.48,29.43,45.68,221.82,51.69,4.07,4.31
