regionCode,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering
CON,9.65,-13.69,MOBILE,2025-11-28T02:43:41.851000Z,-69.99,-79.45,-5.39,14.14,17.23,11.99,46.89,0,100,4.83,,,,,,,,
CON,9.63,-13.62,MOBILE,2025-12-09T03:20:34.810000Z,-69.83,-72.28,-6.39,13.73,19.78,10,45.21,3.59,100,4.35,,,,,,,,
CON,9.48,-13.7,MOBILE,2025-12-28T08:26:41.130000Z,-65.45,-78.56,-6.93,13.57,15.88,8.27,34.02,7.33,97.65,6.14,,,,,,,,
CON,9.57,-13.57,MOBILE,2025-10-25T22:57:54.859000Z,-59.07,-79.99,-9.39,15.18,15.58,11.88,34.98,4.69,100,3.12,,,,,,,,
CON,9.43,-13.61,MOBILE,2025-11-03T19:24:57.276000Z,-66.78,-80.97,-6.18,16.03,15.3,6.11,39.75,0,100,1.99,,,,,,,,
CON,9.62,-13.77,INTERNET,2025-10-11T18:17:13.392000Z,,,,,,,,,,,3.84,2.52,175.52,94.07,805.13,,,
CYA,9.84,-13.45,INTERNET,2025-11-23T16:00:07.794000Z,,,,,,,,,,,21.65,13.25,25.36,23.14,130.39,,,
CYA,9.76,-13.41,DRIVE_TEST,2025-10-03T20:13:35.035000Z,-66.53,-83.81,-9.76,7.44,14.94,8.77,21.16,10.54,94.35,2.51,10.51,6.12,20.91,18.62,205.64,73.6,3.55,4.45
CYA,9.66,-13.4,INTERNET,2025-11-14T17:32:05.523000Z,,,,,,,,,,,14.9,11.8,43.78,30.31,203.09,,,
CYA,9.6,-13.52,INTERNET,2025-12-27T05:21:12.926000Z,,,,,,,,,,,16.53,10.56,29.78,22.03,137.67,,,
CYA,9.6,-13.48,MOBILE,2025-11-27T13:57:12.723000Z,-80.18,-85.58,-12.18,10.58,15.93,5.15,36.74,7.45,98.35,5.04,,,,,,,,
CYA,9.84,-13.53,DRIVE_TEST,2025-12-01T22:54:27.747000Z,-88.95,-95.02,-13.67,4.77,0.58,3.27,120.17,19.79,22.02,16.47,4.16,1.03,136.79,96.04,613.06,34.21,12.38,11.05
CYA,9.82,-13.44,DRIVE_TEST,2025-12-13T16:25:21.659000Z,-73.58,-79.43,-7.33,10.7,18.38,8.24,38.85,2.85,89.14,3.88,14.31,12.39,51.72,24.02,183.18,76.62,1.37,0.63
KIN,9.97,-12.81,INTERNET,2025-12-08T19:58:56.216000Z,,,,,,,,,,,23.18,10.05,50.35,22.09,144.68,,,
BOK,11.13,-14.26,MOBILE,2025-12-30T05:36:52.387000Z,-85.55,-105.03,-13.64,6.2,3.38,1.67,158.7,30.7,12.8,18.93,,,,,,,,
BOK,11.1,-14.42,DRIVE_TEST,2025-11-04T13:18:35.192000Z,-71.36,-99.01,-11.77,5.19,11.38,6.57,49.15,6.6,63.16,10.25,10.39,6.23,47.33,34.47,223.25,54.52,5.1,6.74
BOK,11.27,-14.2,MOBILE,2025-12-09T07:43:21.933000Z,-77.36,-84.42,-10.26,5.8,6.02,3.93,57.04,10.65,60.72,4.13,,,,,,,,
BOK,11.18,-14.44,INTERNET,2025-12-27T16:04:22.216000Z,,,,,,,,,,,6.62,3.2,70.14,27.76,216.52,,,
BOK,11.29,-14.25,MOBILE,2025-12-12T09:52:29.056000Z,-90.64,-99.4,-12.37,1.2,4.91,0,128.71,19.73,23.73,12.23,,,,,,,,
KDR,12.63,-13.29,DRIVE_TEST,2025-11-06T11:09:01.870000Z,-82.92,-104.57,-11.38,2.07,8.01,4.89,59.91,12.84,50.83,2.29,8.5,4.51,68.12,49.92,310.29,35.57,7.02,4.73
KDR,12.64,-13.37,DRIVE_TEST,2025-11-10T21:02:58.094000Z,-71.87,-92.41,-12.63,13.24,8.87,2.95,57.47,4.78,62.5,5.66,11.67,6.46,46.39,39.94,258.47,11.81,4.35,4.04
KDR,12.61,-13.46,MOBILE,2025-11-25T00:38:05.743000Z,-81.74,-98.8,-11.52,5.08,0,4.6,64.02,11.46,48.52,9.04,,,,,,,,
KDR,12.63,-13.21,MOBILE,2025-10-05T03:05:06.752000Z,-80.28,-89.02,-13.15,2.57,12.7,2.3,85.23,10.9,51.32,6.96,,,,,,,,
KDR,12.38,-13.3,DRIVE_TEST,2025-10-18T08:05:22.387000Z,-83.99,-97.98,-11.83,4.14,5.98,3.67,71.34,12.87,55.42,6.91,6.07,8.02,68.6,45.07,239.63,46.19,6.39,4.36
LAB,11.46,-12.4,MOBILE,2025-11-27T03:19:50.177000Z,-78.69,-86.75,-12.15,11.99,9.14,1.38,67.12,12.06,46.65,5.83,,,,,,,,
LAB,11.41,-12.18,DRIVE_TEST,2025-12-31T10:01:09.917000Z,-80.47,-76.07,-13.64,3.33,0,3.61,69.15,11.11,54.28,6.65,5.24,9.66,87.3,59.87,395.84,33.74,6.64,7.62
LAB,11.26,-12.41,MOBILE,2025-10-19T05:34:52.953000Z,-81.07,-92.31,-9.2,2.75,2.38,8.25,52.26,12,67.91,5.15,,,,,,,,
LAB,11.33,-12.16,INTERNET,2025-11-27T05:40:32.508000Z,,,,,,,,,,,15.51,4.88,65.98,42.36,272.26,,,
LAB,11.25,-12.39,MOBILE,2025-12-21T03:23:46.915000Z,-93.73,-100.68,-12.39,2.16,4.41,0,119.67,14.15,30.32,10.15,,,,,,,,
LAB,11.17,-12.3,DRIVE_TEST,2025-10-13T23:00:57.239000Z,-80.09,-91.48,-10.52,7.3,7.58,6.02,67.61,10.96,66.11,6.38,6.24,5.16,65.66,43.58,317.38,19.36,7.19,1.81
LAB,11.26,-12.22,MOBILE,2025-11-23T04:40:17.649000Z,-83.45,-90.57,-9.65,9.54,5.53,6.74,44.11,8.3,52.69,2.66,,,,,,,,
MLI,12.01,-12.17,MOBILE,2025-12-29T20:47:25.888000Z,-79.45,-99.68,-7.31,0.17,6.81,5.71,56.41,5.57,67.08,4.72,,,,,,,,
MLI,11.85,-12.28,INTERNET,2025-12-24T04:43:31.699000Z,,,,,,,,,,,12.31,0.01,125.64,79.58,600.2,,,
DLB,11.1,-12.31,MOBILE,2025-10-18T18:16:54.119000Z,-80.06,-87.82,-10.59,7.99,6.11,6.29,60.08,14.03,63.45,5.57,,,,,,,,
MAM,10.41,-11.98,INTERNET,2025-10-26T02:29:25.764000Z,,,,,,,,,,,3.35,1.77,148.57,89.92,632.72,,,
MAM,10.6,-12.1,MOBILE,2025-12-25T22:40:39.003000Z,-60.3,-73.23,-9.35,14.5,17.35,7.56,23.92,7.03,100,7.37,,,,,,,,
MAM,10.39,-12.2,INTERNET,2025-10-22T20:21:17.325000Z,,,,,,,,,,,13.54,8.96,29.63,47.23,89.9,,,
MAM,10.37,-11.94,INTERNET,2025-12-29T15:59:54.921000Z,,,,,,,,,,,9.19,9.64,46.07,38.52,152.93,,,
MAM,10.54,-12.12,INTERNET,2025-11-03T10:27:23.341000Z,,,,,,,,,,,25.42,9.71,23.78,18.26,179.41,,,
FAR,9.95,-10.73,DRIVE_TEST,2025-11-27T11:32:55.855000Z,-70.26,-90.42,-10.42,12.12,8.97,6.55,60.54,9.49,64.82,6.15,6.37,7.71,75.45,43.8,283,47.52,4.91,3.35
FAR,10.04,-10.72,MOBILE,2025-10-08T06:03:05.394000Z,-78.99,-89.49,-12.29,5.38,10.93,6.94,54.03,5.48,57.54,7.43,,,,,,,,
FAR,10.12,-10.86,INTERNET,2025-11-10T08:38:53.747000Z,,,,,,,,,,,7.39,10.54,66.75,35.74,298.67,,,
FAR,10.06,-10.78,INTERNET,2025-10-15T17:55:40.719000Z,,,,,,,,,,,5.6,5.19,154.89,100.77,648.58,,,
FAR,9.96,-10.59,MOBILE,2025-10-12T11:42:42.926000Z,-94.4,-103.39,-15.37,7.46,5.54,0,120.71,17.58,35.69,11.92,,,,,,,,
KDG,9.3,-10.17,INTERNET,2025-10-15T12:14:11.536000Z,,,,,,,,,,,8.73,5.03,75.24,37.41,267.64,,,
KDG,9.15,-10.02,INTERNET,2025-10-21T10:05:16.549000Z,,,,,,,,,,,11.56,4.62,73.76,25.76,286.88,,,
KDG,9.2,-10.24,MOBILE,2025-11-06T11:30:25.669000Z,-88.76,-102.58,-11.98,1.63,6.17,3.11,115.45,21.67,30.74,13.63,,,,,,,,
KDG,9.33,-9.96,MOBILE,2025-12-12T00:08:15.965000Z,-76.14,-85.15,-8.97,4.64,6.61,3.62,41.31,11.75,67.21,5.35,,,,,,,,
KDG,9.25,-10.1,DRIVE_TEST,2025-12-17T19:47:22.565000Z,-83.5,-93.53,-9.64,5.55,14.69,2.91,57.96,5.03,56.24,9.37,12.37,4.92,66.81,51.12,309.98,32.46,7.44,5.04
KAN,10.33,-9.24,INTERNET,2025-12-10T00:46:25.264000Z,,,,,,,,,,,17.1,9.48,39.88,22.85,161.7,,,
KAN,10.49,-9.39,DRIVE_TEST,2025-11-12T12:18:49.162000Z,-62.06,-80.91,-5.61,9.25,11.35,9.37,37.14,3.25,100,4,10.1,11.3,27.67,15.35,118.04,100,1.12,2.61
KAN,10.36,-9.17,INTERNET,2025-10-04T06:15:40.210000Z,,,,,,,,,,,15.07,10.33,47.6,21.12,191.54,,,
KAN,10.42,-9.44,DRIVE_TEST,2025-11-18T01:12:04.801000Z,-73.1,-79.49,-6.59,10.42,13.44,10.77,47.95,1.37,100,6.3,22.04,10.34,37.71,10.64,170.96,59.81,2.26,4.47
KAN,10.44,-9.25,INTERNET,2025-12-09T02:15:09.033000Z,,,,,,,,,,,19.78,13.8,26.25,14.28,161.8,,,
KAN,10.49,-9.39,DRIVE_TEST,2025-12-26T20:20:08.021000Z,-88.93,-112.78,-10.33,-2.75,0,3.98,131.72,22.25,19.54,13.09,4.55,4.18,165.91,89.57,600.48,11.98,11.87,5.16
SGR,11.46,-9.14,INTERNET,2025-11-18T14:19:35.602000Z,,,,,,,,,,,13.55,3.07,68.32,38.02,275.6,,,
SGR,11.32,-9.19,MOBILE,2025-10-14T06:59:08.202000Z,-78.71,-95.58,-12.59,5.53,11.36,0.69,61.3,13.75,56.67,6.06,,,,,,,,
SGR,11.53,-9.27,MOBILE,2025-10-17T18:34:35.456000Z,-79.15,-96.61,-8.19,7.72,9.1,9.98,38.15,7.79,75.1,4.36,,,,,,,,
