regionCode,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering
CON,9.5,-13.73,INTERNET,2025-05-13T06:59:52.157000Z,,,,,,,,,,,13.44,11.64,44.69,25.57,156.44,,,
CON,9.43,-13.74,DRIVE_TEST,2025-05-24T07:22:49.676000Z,-54.66,-83.06,-8.45,13.19,18.58,9.25,25.38,0,100,4.93,19.39,10.08,35.85,17.75,150.13,66.66,1.77,2.36
CON,9.4,-13.84,DRIVE_TEST,2025-05-14T01:41:55.064000Z,-66.91,-86.36,-11.46,9.84,15.65,11.81,35.68,5.59,100,4.27,16.61,12.47,37.73,12.15,82.62,74.02,3.78,2.1
CON,9.64,-13.67,DRIVE_TEST,2025-04-08T13:50:02.807000Z,-63.26,-81.05,-6.27,11.43,18.28,5.86,39.66,5.16,100,2.49,14.71,13.05,49.28,30.65,177.77,80.48,3.83,4.66
CON,9.51,-13.69,DRIVE_TEST,2025-04-27T23:14:36.995000Z,-66.94,-74.61,-6.85,7.22,19.88,12.34,26.88,5.1,100,4.03,21.38,10.21,37.17,11.56,118.05,76.7,1.36,3.77
CON,9.51,-13.64,DRIVE_TEST,2025-05-18T15:58:48.617000Z,-65.22,-82.35,-5.71,12.87,12.22,12.06,39.8,3.33,100,0.05,15.01,9.4,34.52,34.99,194.46,80.15,3.05,2.47
CON,9.57,-13.7,INTERNET,2025-06-13T05:34:08.635000Z,,,,,,,,,,,15.08,12.12,57.75,13.59,148.92,,,
CYA,9.57,-13.41,MOBILE,2025-06-28T19:04:37.227000Z,-71.88,-82.56,-7.1,13.46,20.87,9.94,35.76,6.82,100,0.91,,,,,,,,
CYA,9.83,-13.44,DRIVE_TEST,2025-06-21T07:11:33.098000Z,-65.56,-79.01,-11.52,9.15,13.35,7.62,35.86,8.18,100,3.15,20.89,6.23,44.37,22.5,123.49,59.55,2.82,3.86
CYA,9.78,-13.53,INTERNET,2025-05-01T18:34:56.877000Z,,,,,,,,,,,16.59,11.29,12.64,32.84,159.34,,,
CYA,9.7,-13.32,INTERNET,2025-05-18T16:58:36.420000Z,,,,,,,,,,,21.55,7.26,37.19,20.19,120.26,,,
CYA,9.59,-13.25,INTERNET,2025-06-20T08:52:18.282000Z,,,,,,,,,,,0.51,0.01,199.13,104.16,710.34,,,
KIN,10.02,-12.94,INTERNET,2025-05-24T00:33:41.908000Z,,,,,,,,,,,13.84,8.71,19.84,13.37,106.56,,,
KIN,9.97,-12.84,INTERNET,2025-04-18T21:53:40.627000Z,,,,,,,,,,,12.85,13.5,35.29,16.21,198.48,,,
KIN,10.06,-12.97,INTERNET,2025-06-18T12:30:50.797000Z,,,,,,,,,,,21.55,11.91,16.19,30.96,151.7,,,
KIN,10.1,-12.99,DRIVE_TEST,2025-05-22T23:35:04.689000Z,-70.88,-80.23,-5.43,11.92,14.49,6.49,35.86,7.55,100,2.96,25.68,5.73,38.21,26.81,180.69,76.72,4.17,0
KIN,9.95,-12.92,INTERNET,2025-06-29T01:47:40.203000Z,,,,,,,,,,,18.13,11.39,29.21,43.87,177.09,,,
KIN,10.1,-12.76,MOBILE,2025-06-19T00:38:58.357000Z,-68,-69.1,-12.51,14.54,18.68,5.32,37.5,6.41,100,6.12,,,,,,,,
BOK,11.08,-14.25,MOBILE,2025-05-16T06:46:36.451000Z,-82.41,-104.02,-8.42,5.78,4.95,4.95,64.34,7.49,64.72,3.96,,,,,,,,
BOK,11.23,-14.24,MOBILE,2025-04-08T21:37:00.530000Z,-82.83,-94.04,-12.04,11.47,8.44,3.13,62.79,10.9,55.18,9.48,,,,,,,,
BOK,11.22,-14.21,MOBILE,2025-05-24T11:50:20.343000Z,-81.57,-93.64,-8.84,5.9,13.12,7.36,70.48,11.91,54.54,5.31,,,,,,,,
BOK,11.24,-14.15,DRIVE_TEST,2025-04-23T17:41:54.922000Z,-91.74,-106.98,-13.12,-2.05,1.69,0,176.56,26.02,29.05,15.54,11.79,0.35,172.45,115.91,744.76,39.19,13.56,8.59
BOK,11.26,-14.21,DRIVE_TEST,2025-05-22T09:02:01.482000Z,-77.12,-90.37,-9.82,1.21,12.32,7.76,49.1,3.1,66.04,8.54,9.44,5.41,55.67,34.55,216.2,50.46,3.95,4.57
BOK,11.15,-14.43,DRIVE_TEST,2025-06-12T21:58:07.463000Z,-75.64,-92.89,-10.6,3.59,8.59,0.68,45.41,8.16,55.14,9.23,10,5.72,69.99,45.95,322.64,41.99,6.73,3.91
BOK,11.21,-14.41,INTERNET,2025-04-19T05:18:57.857000Z,,,,,,,,,,,12.27,10.03,77.31,37.22,304.51,,,
KDR,12.53,-13.24,MOBILE,2025-06-07T07:20:56.867000Z,-90.34,-106.25,-11.48,1.01,9.32,0,186.27,23.54,24.18,16.4,,,,,,,,
KDR,12.56,-13.22,MOBILE,2025-06-24T11:50:00.297000Z,-74.43,-84.38,-10.57,4.41,15.6,5.46,43.53,2.63,66.67,5.86,,,,,,,,
KDR,12.57,-13.35,MOBILE,2025-04-07T20:12:37.728000Z,-74.33,-89.52,-9.1,6.3,6.56,6.51,58.63,8.63,54.48,8.23,,,,,,,,
KDR,12.57,-13.4,INTERNET,2025-04-12T02:19:44.692000Z,,,,,,,,,,,13.9,5.6,75.46,51.42,373.17,,,
KDR,12.44,-13.43,DRIVE_TEST,2025-05-22T04:51:25.590000Z,-91.82,-98.56,-15.1,7.33,8.56,2.16,150.25,28.53,29.41,17.11,4.04,4.31,153.19,87.32,696.03,0,13.01,10.83
LAB,11.3,-12.2,INTERNET,2025-05-02T06:33:59.311000Z,,,,,,,,,,,10.44,4.53,57.45,11.7,300.51,,,
LAB,11.44,-12.4,DRIVE_TEST,2025-06-22T00:56:09.724000Z,-78.72,-87.73,-10.04,4.45,7.13,5.03,58.34,11.2,66.9,5.83,9.79,6.39,47.93,48.53,271.23,39.24,4.51,4.22
LAB,11.38,-12.31,INTERNET,2025-05-07T20:02:59.225000Z,,,,,,,,,,,8.55,5.52,75.9,38.8,267.1,,,
LAB,11.18,-12.38,MOBILE,2025-04-30T03:54:51.195000Z,-95.53,-104.67,-11.97,2.62,2.92,1.88,220.24,31.94,10.78,19.42,,,,,,,,
LAB,11.3,-12.33,DRIVE_TEST,2025-05-22T03:04:04.328000Z,-94.62,-100.7,-11.87,3.68,3.17,1.55,169.84,27.05,8.57,17.94,6.85,0.56,188.7,100.51,858.6,19.32,16.5,14.88
LAB,11.19,-12.3,INTERNET,2025-06-16T17:41:30.258000Z,,,,,,,,,,,9.38,5.92,50.53,26.66,208.03,,,
LAB,11.21,-12.18,MOBILE,2025-04-07T23:58:22.879000Z,-73.06,-95.69,-7.64,10.47,9.09,6.78,46.42,11.64,68.11,6.42,,,,,,,,
MLI,11.97,-12.2,DRIVE_TEST,2025-06-26T11:16:15.333000Z,-85.79,-100.17,-9.89,3.46,13.26,1.3,52.21,8.78,55.55,7.68,11.47,3.67,55.07,47.02,319.74,40.1,4.85,7.22
MLI,12.09,-12.32,DRIVE_TEST,2025-04-28T11:35:23.424000Z,-81.95,-100.48,-12.17,4.24,5.1,1.06,68.05,13.51,46.95,5.63,7.94,1.62,78.25,43.12,360.44,41.74,6.82,7.38
MLI,11.9,-12.18,MOBILE,2025-04-03T02:55:28.452000Z,-77.86,-98.56,-9.77,6.8,12.3,2.73,46.97,14.48,54.38,5.37,,,,,,,,
MLI,12.09,-12.15,INTERNET,2025-06-11T04:57:49.141000Z,,,,,,,,,,,7.4,5.46,79.61,39.7,342.63,,,
MLI,12.12,-12.21,INTERNET,2025-04-06T04:58:21.918000Z,,,,,,,,,,,9.44,4.69,97.57,45.96,387.53,,,
DLB,10.92,-12.32,MOBILE,2025-05-08T11:06:34.698000Z,-96.61,-97.41,-10.02,2.6,7.79,1.99,116.57,23.12,32.77,12.43,,,,,,,,
DLB,10.98,-12.4,DRIVE_TEST,2025-06-01T02:01:18.095000Z,-103.21,-99.72,-15.21,-3.12,3.65,4.19,213.06,38.73,17.14,21.58,9.19,5.93,215.23,137.01,983.67,33.91,19.37,11.7
DLB,10.98,-12.38,DRIVE_TEST,2025-06-26T03:20:39.780000Z,-84.79,-95.97,-12.32,9.41,7.05,6.36,49.92,11.72,58.03,5.65,14.89,5.32,75.98,39.1,237.39,60.27,5.63,3.71
DLB,10.88,-12.2,INTERNET,2025-05-19T12:16:53.384000Z,,,,,,,,,,,7.94,1.86,204.69,118.14,910.37,,,
DLB,10.92,-12.12,DRIVE_TEST,2025-05-12T20:10:31.921000Z,-82.99,-83.88,-9.94,9.55,7.21,7.8,57.79,9.52,59.47,4.14,10.3,4.87,56.11,38.44,296.06,60.05,5.2,9.09
DLB,11.07,-12.21,INTERNET,2025-05-25T18:22:09.183000Z,,,,,,,,,,,9.21,5.27,87.76,47.36,370.52,,,
DLB,10.98,-12.33,DRIVE_TEST,2025-04-19T23:04:54.055000Z,-77.09,-95.32,-10.7,11.04,7.01,6.99,65.19,11.57,56.27,5.01,5.91,8.26,78.31,38.45,359.93,56.57,5.03,8.4
MAM,10.39,-11.95,MOBILE,2025-04-30T02:22:40.150000Z,-66.18,-76.43,-10.47,11.73,19.38,9.33,35.78,4.54,92.92,3.07,,,,,,,,
MAM,10.4,-12.17,DRIVE_TEST,2025-06-09T15:57:18.782000Z,-55.32,-84.68,-12.11,10.38,18.07,8.12,40.15,2.06,100,2.46,13.42,10.84,44.38,21.94,131.44,76.69,3.18,3.65
MAM,10.45,-12.01,INTERNET,2025-05-08T06:04:46.570000Z,,,,,,,,,,,19.52,11.4,38.32,19.16,148.56,,,
MAM,10.6,-12.23,INTERNET,2025-04-25T22:59:45.315000Z,,,,,,,,,,,25.99,8.67,18.32,14.17,155.08,,,
MAM,10.54,-12.05,MOBILE,2025-06-24T00:29:54.150000Z,-80.02,-89.49,-11.75,10.17,20.7,7.8,43.29,5.49,100,7.05,,,,,,,,
MAM,10.55,-11.99,INTERNET,2025-06-13T05:14:34.032000Z,,,,,,,,,,,4.64,0.49,246.88,140.34,925.15,,,
FAR,10.17,-10.73,MOBILE,2025-06-20T14:29:34.474000Z,-86.44,-86.87,-8.73,3.97,9.85,4.75,60.29,10.64,62.06,8.28,,,,,,,,
FAR,9.96,-10.82,DRIVE_TEST,2025-06-11T18:31:53.975000Z,-88.33,-100.69,-15.73,5.25,10.14,6.19,56.91,11.67,55.23,5.29,5.21,3.81,82.95,43.71,320.02,53.9,4.87,3.61
FAR,10,-10.63,DRIVE_TEST,2025-04-08T19:45:59.668000Z,-80.37,-92.27,-10.79,7.08,9.22,3.69,46.78,10.14,67.78,4.93,7.2,8.8,72.42,45.87,272.96,32.8,4.95,6.89
FAR,10.07,-10.62,INTERNET,2025-05-01T02:37:48.623000Z,,,,,,,,,,,5.57,0.01,234.59,153.62,1154.86,,,
FAR,10.03,-10.88,MOBILE,2025-05-24T06:14:51.746000Z,-87.36,-84.35,-9.68,6.48,11.4,4.68,80.97,8.07,55.76,7.23,,,,,,,,
FAR,10.18,-10.59,INTERNET,2025-04-27T19:26:34.907000Z,,,,,,,,,,,21.32,5.67,64.12,33.22,287.85,,,
KDG,9.19,-10.2,MOBILE,2025-05-04T18:45:31.822000Z,-77.2,-87.55,-10.11,9.07,7.19,6.49,44.18,5.63,75.27,6.21,,,,,,,,
KDG,9.22,-9.99,DRIVE_TEST,2025-06-10T04:07:40.866000Z,-93.2,-113.71,-17.04,3.08,6.78,0,216.04,36.93,17.49,26.42,0.89,2.46,248.36,149.91,1076.53,2.85,21.4,19.12
