operateur,region,regionNom,latitude,longitude,typeMesure,timestamp,rssi,rsrp,rsrq,sinr,debitDescendant,debitMontant,latence,gigue,tauxAppelReussi,tauxDropCall,debitDownload,debitUpload,ping,dnsLookupTime,tcpConnectTime,scoreQoE,pageLoadTime,videoBuffering,campagne
ORANGE,CON,Conakry,9.554376,-13.60649,MOBILE,2025-05-30T20:40:24.000Z,-74.0,-81.8,-6.9,12.7,16.3,8.8,37.6,5.7,96.9,2.9,,,,,,76.0,2.12,,Drive Test Conakry 2025-Q2
ORANGE,KDR,Koundara,12.592118,-13.304583,MOBILE,2025-06-20T20:10:17.000Z,-88.9,-100.6,-16.8,-6.0,,,203.6,92.1,1.1,73.9,0.09,0.04,1606.9,756.5,1135.7,14.0,32.72,13.81,Drive Test Koundara 2025-Q2
ORANGE,GKD,Guéckédou,8.211972,-10.383741,INTERNET,2025-05-25T17:18:24.000Z,-76.8,-107.1,-17.1,-2.2,,,399.2,140.8,34.0,59.0,0.14,0.0,1569.1,523.4,733.1,10.0,31.94,33.02,Drive Test Guéckédou 2025-Q2
ORANGE,KKA,Kankan,10.459285,-9.522576,INTERNET,2025-05-08T02:02:35.000Z,-79.3,-99.7,-19.5,-9.1,,,197.0,46.8,9.0,55.6,0.41,0.03,267.2,643.3,1296.3,14.0,53.96,12.82,Drive Test Kankan 2025-Q2
ORANGE,CON,Conakry,9.484103,-13.749899,INTERNET,2025-04-02T14:38:00.000Z,-61.3,-92.2,-7.8,17.9,23.2,12.6,34.4,3.9,96.9,2.8,39.39,17.4,24.7,38.1,49.0,79.0,2.4,1.09,Drive Test Conakry 2025-Q2
ORANGE,MMU,Mamou,10.599553,-12.280009,INTERNET,2025-04-09T17:28:18.000Z,-57.0,-82.0,-7.3,14.6,19.8,13.5,25.3,4.0,77.7,3.0,28.5,16.62,22.6,34.7,48.0,65.0,2.56,0.44,Drive Test Mamou 2025-Q2
ORANGE,CON,Conakry,9.610369,-13.731855,INTERNET,2025-06-12T03:39:07.000Z,-60.7,-84.2,-7.3,10.2,27.5,16.1,26.6,6.4,95.4,4.4,46.48,14.71,32.0,41.0,63.3,76.0,2.85,0.59,Drive Test Conakry 2025-Q2
ORANGE,KIN,Kindia,10.075147,-12.815402,MOBILE,2025-06-13T07:24:54.000Z,-56.8,-67.5,-4.4,15.5,13.3,6.7,28.1,4.9,79.3,3.5,,,,,,73.0,2.11,,Drive Test Kindia 2025-Q2
ORANGE,CON,Conakry,9.412252,-13.737957,MOBILE,2025-06-26T01:04:15.000Z,-66.7,-79.8,-9.7,16.0,20.7,9.4,31.8,3.6,96.0,3.3,,,,,,81.0,3.81,,Drive Test Conakry 2025-Q2
ORANGE,DLB,Dalaba,10.582529,-11.993113,INTERNET,2025-06-29T10:49:16.000Z,-49.4,-49.2,-3.9,5.1,20.4,7.7,20.3,3.4,62.7,2.1,29.04,12.41,14.7,25.9,41.5,52.0,1.15,0.34,Drive Test Dalaba 2025-Q2
